day,ntweets
2020-03-17,2306583
2020-03-18,2441325
2020-03-19,2395362
2020-03-20,2537556
2020-03-21,2212256
2020-03-22,2232877
2020-03-23,2586086
2020-03-24,2494741
2020-03-25,2439834
2020-03-26,2599503
2020-03-27,2551801
2020-03-28,2291842
2020-03-29,2165797
2020-03-30,2320828
2020-03-31,2347080
2020-04-01,2418550
2020-04-02,2492587
2020-04-03,2535569
2020-04-04,2348737
2020-04-05,2370600
2020-04-06,2397763
2020-04-07,2373581
2020-04-08,2349151
2020-04-09,2447950
2020-04-10,2369192
2020-04-11,2289606
2020-04-12,2257888
2020-04-13,2161407
2020-04-14,2251428
2020-04-15,2289109
2020-04-16,2427246
2020-04-17,2450683
2020-04-18,2274202
2020-04-19,2218385
2020-04-20,2207536
2020-04-21,2291594
2020-04-22,2336728
2020-04-23,2379627
2020-04-24,2421366
2020-04-25,2121490
2020-04-26,2035693
2020-04-27,2243146
2020-04-28,2307494
2020-04-29,2237763
2020-04-30,2432960
2020-05-01,2479585
2020-05-02,2106666
2020-05-03,2231469
2020-05-04,2319171
2020-05-05,2298633
2020-05-06,2289523
2020-05-07,2343850
2020-05-08,2344679
2020-05-09,2133747
2020-05-10,2543602
2020-05-11,2386335
2020-05-12,2302111
2020-05-13,2306583
2020-05-14,2284886
2020-05-15,2351718
2020-05-16,2195693
2020-05-17,1996190
2020-05-18,2187826
2020-05-19,2233209
2020-05-20,2320993
2020-05-21,2301200
2020-05-22,2432215
2020-05-23,2418302
2020-05-24,2551966
2020-05-25,2651842
2020-05-26,2405797
2020-05-27,2452256
2020-05-28,2427246
2020-05-29,2292422
2020-05-30,2044637
2020-05-31,2057474
2020-06-01,2098964
2020-06-02,2059792
2020-06-03,2318674
2020-06-04,2294161
2020-06-05,2335983
2020-06-06,2158674
2020-06-07,2227577
2020-06-08,2278674
2020-06-09,2377225
2020-06-10,2417556
2020-06-11,2500621
2020-06-12,2466004
2020-06-13,2280165
2020-06-14,2021697
2020-06-15,2228074
2020-06-16,2355693
2020-06-17,2587412
2020-06-18,2389648
2020-06-19,2475279
2020-06-20,2123975
2020-06-21,2102857
2020-06-22,2131759
2020-06-23,2272960
2020-06-24,2319089
2020-06-25,2555196
2020-06-26,2427577
2020-06-27,2222525
2020-06-28,2107577
2020-06-29,2197763
2020-06-30,2342774
2020-07-01,2463436
2020-07-02,2361739
2020-07-03,2370103
2020-07-04,2228240
2020-07-05,2053995
2020-07-06,2162153
2020-07-07,2281159
2020-07-08,2350559
2020-07-09,2338881
2020-07-10,2204057
2020-07-11,1972091
2020-07-12,1982443
2020-07-13,2159089
2020-07-14,2202484
2020-07-15,2307412
2020-07-16,2235610
2020-07-17,2205548
2020-07-18,1953871
2020-07-19,1975320
2020-07-20,2020786
2020-07-21,2112463
2020-07-22,2401904
2020-07-23,2240828
2020-07-24,2211097
2020-07-25,1943022
2020-07-26,2079171
2020-07-27,1928115
2020-07-28,1908405
2020-07-29,2024347
2020-07-30,2144927
2020-07-31,2203809
2020-08-01,2018633
2020-08-02,1863436
2020-08-03,1952380
2020-08-04,2135734
2020-08-05,2094409
2020-08-06,2130020
2020-08-07,2222608
2020-08-08,1884720
2020-08-09,1863022
2020-08-10,2055734
2020-08-11,2196438
2020-08-12,2304596
2020-08-13,2283229
2020-08-14,2282484
2020-08-15,2003395
2020-08-16,2011345
2020-08-17,2063022
2020-08-18,2048530
2020-08-19,2166128
2020-08-20,2123064
2020-08-21,2161904
2020-08-22,1921490
2020-08-23,1934575
2020-08-24,1935486
2020-08-25,2173002
2020-08-26,2101449
2020-08-27,2063933
2020-08-28,2078509
2020-08-29,1885797
2020-08-30,1760082
2020-08-31,1830144
2020-09-01,2016563
2020-09-02,2033374
2020-09-03,2117846
2020-09-04,2129689
2020-09-05,1944679
2020-09-06,1958178
2020-09-07,2016894
2020-09-08,2179792
2020-09-09,2171097
2020-09-10,2098219
2020-09-11,2128861
2020-09-12,2072546
2020-09-13,1941449
2020-09-14,2122567
2020-09-15,2156604
2020-09-16,2218633
2020-09-17,2202318
2020-09-18,2191387
2020-09-19,2131511
2020-09-20,2034782
2020-09-21,2060207
2020-09-22,2306252
2020-09-23,2160579
2020-09-24,2146501
2020-09-25,2162650
2020-09-26,2139296
2020-09-27,2093084
