day,male,female
2020-02-01,720248,365465
2020-02-02,651428,366956
2020-02-03,584927,355196
2020-02-04,624265,372173
2020-02-05,603146,370351
2020-02-06,611677,372505
2020-02-07,589896,352463
2020-02-08,635031,331759
2020-02-09,623105,369026
2020-02-10,590807,359171
2020-02-11,623602,365300
2020-02-12,632132,363892
2020-02-13,630144,366542
2020-02-14,680414,402070
2020-02-15,664844,368281
2020-02-16,618550,355610
2020-02-17,620041,369026
2020-02-18,620869,391304
2020-02-19,648530,377060
2020-02-20,631221,384844
2020-02-21,616314,373250
2020-02-22,660703,343271
2020-02-23,633540,353706
2020-02-24,578550,363064
2020-02-25,614409,361987
2020-02-26,625838,364886
2020-02-27,646790,375320
2020-02-28,643229,362153
2020-02-29,692091,339792
2020-03-01,626501,338799
2020-03-02,585341,347826
2020-03-03,623685,367370
2020-03-04,648530,368364
2020-03-05,634451,394037
2020-03-06,595942,377805
2020-03-07,629813,334161
2020-03-08,630890,384844
2020-03-09,583850,347577
2020-03-10,617639,369440
2020-03-11,676604,388819
2020-03-12,746252,421449
2020-03-13,762318,438426
2020-03-14,705507,416397
2020-03-15,692091,420538
2020-03-16,728861,469482
2020-03-17,790393,520165
2020-03-18,833788,568612
2020-03-19,818550,561490
2020-03-20,895817,571759
2020-03-21,806625,506832
2020-03-22,813995,508819
2020-03-23,923064,572091
2020-03-24,884720,552380
2020-03-25,861200,532422
2020-03-26,916604,591469
2020-03-27,895569,561656
2020-03-28,865175,511801
2020-03-29,782691,484554
2020-03-30,793126,515610
2020-03-31,805714,515279
2020-04-01,828405,525051
2020-04-02,860372,546583
2020-04-03,885548,554865
2020-04-04,879585,502360
2020-04-05,875031,508074
2020-04-06,822028,516024
2020-04-07,811677,508819
2020-04-08,818633,510724
2020-04-09,852422,517184
2020-04-10,865258,509813
2020-04-11,864182,487619
2020-04-12,819958,492339
2020-04-13,762484,460621
2020-04-14,776066,476190
2020-04-15,805714,474451
2020-04-16,863271,517349
2020-04-17,857971,536149
2020-04-18,832546,479337
2020-04-19,803561,466169
2020-04-20,759668,460786
2020-04-21,778633,491511
2020-04-22,812587,493664
2020-04-23,810269,518095
2020-04-24,877267,496645
2020-04-25,776811,455486
2020-04-26,715031,442567
2020-04-27,732173,474037
2020-04-28,784016,490020
2020-04-29,763975,478012
2020-04-30,836687,511718
2020-05-01,854741,526625
2020-05-02,764637,453416
2020-05-03,751304,465507
2020-05-04,749730,494906
2020-05-05,775900,478095
2020-05-06,779875,477763
2020-05-07,810931,490766
2020-05-08,812587,496397
2020-05-09,780289,452587
2020-05-10,920248,553954
2020-05-11,825424,505590
2020-05-12,764720,504513
2020-05-13,785921,489606
2020-05-14,772836,487867
2020-05-15,800414,491428
2020-05-16,799917,476107
2020-05-17,698219,428322
2020-05-18,722236,467329
2020-05-19,752049,473374
2020-05-20,783850,491759
2020-05-21,769192,480910
2020-05-22,821780,521904
2020-05-23,928695,507080
2020-05-24,966625,543850
2020-05-25,1021035,567950
2020-05-26,853416,498302
2020-05-27,863022,515693
2020-05-28,855320,499378
2020-05-29,799751,468985
2020-05-30,746666,420041
2020-05-31,744099,422525
2020-06-01,696977,431635
2020-06-02,705258,416894
2020-06-03,772008,494989
2020-06-04,772670,482236
2020-06-05,802567,490103
2020-06-06,769523,447204
2020-06-07,801821,461449
2020-06-08,765962,473954
2020-06-09,821366,497391
2020-06-10,824596,520993
2020-06-11,849275,511884
2020-06-12,859544,504182
2020-06-13,843643,454575
2020-06-14,707826,425507
2020-06-15,743768,454741
2020-06-16,827329,483064
2020-06-17,926459,504430
2020-06-18,817639,486542
2020-06-19,884637,486376
2020-06-20,790310,416645
2020-06-21,755113,424430
2020-06-22,712712,416397
2020-06-23,789813,453664
2020-06-24,799917,466915
2020-06-25,932339,507163
2020-06-26,837349,512629
2020-06-27,812836,453250
2020-06-28,749151,443892
2020-06-29,746583,453747
2020-06-30,808198,482567
2020-07-01,866252,511304
2020-07-02,826335,480331
2020-07-03,807122,497888
2020-07-04,833871,440165
2020-07-05,746086,419378
2020-07-06,732008,440248
2020-07-07,763726,457060
2020-07-08,805548,474285
2020-07-09,817556,470227
2020-07-10,744347,453747
2020-07-11,723478,384099
2020-07-12,722070,380455
2020-07-13,740538,422691
2020-07-14,757018,454161
2020-07-15,816149,448612
2020-07-16,785341,432960
2020-07-17,778633,430144
2020-07-18,728033,367039
2020-07-19,717101,374078
2020-07-20,691097,398509
2020-07-21,735983,411842
2020-07-22,855983,449855
2020-07-23,759585,458302
2020-07-24,753871,454741
2020-07-25,689523,391718
2020-07-26,768364,395776
2020-07-27,636604,376811
2020-07-28,630227,368447
2020-07-29,684472,404140
2020-07-30,754948,404720
2020-07-31,783685,433540
2020-08-01,745507,383271
2020-08-02,658550,370517
2020-08-03,652256,382443
2020-08-04,727453,424927
2020-08-05,708240,411014
2020-08-06,733830,407122
2020-08-07,758260,436190
2020-08-08,664596,361407
2020-08-09,654658,373995
2020-08-10,707080,401821
2020-08-11,755113,430724
2020-08-12,782443,468488
2020-08-13,769855,464761
2020-08-14,801076,438178
2020-08-15,729772,385672
2020-08-16,713209,389979
2020-08-17,700289,402318
2020-08-18,687370,402153
2020-08-19,739296,428157
2020-08-20,715362,427991
2020-08-21,747577,409606
2020-08-22,698467,364720
2020-08-23,689192,371014
2020-08-24,648778,372008
2020-08-25,766625,417805
2020-08-26,733084,393457
2020-08-27,713706,402153
2020-08-28,730269,402981
2020-08-29,684140,355113
2020-08-30,622443,339710
2020-08-31,629979,359503
2020-09-01,684389,384016
2020-09-02,694327,392298
2020-09-03,726956,421283
2020-09-04,756853,399006
2020-09-05,711552,366211
2020-09-06,687039,392380
2020-09-07,690931,382360
2020-09-08,789068,403809
2020-09-09,768612,417888
2020-09-10,725714,412091
