"date","n","mnfear","mnjoy","mnsadness"
"2019-06-01",9975,0.0578627381428264,0.505909429573574,0.155832213865614
"2019-06-02",9966,0.0594406656052859,0.48110002451161,0.155412114278326
"2019-06-03",9972,0.0581718904985151,0.511456227026127,0.145507827652285
"2019-06-04",9966,0.0556384689904343,0.505332646592747,0.139572278113184
"2019-06-05",9976,0.0579298326837428,0.509903933873951,0.144840886799193
"2019-06-06",9978,0.0595494819538769,0.504225960003505,0.148298453038457
"2019-06-07",9965,0.0588713279559335,0.504965562480308,0.146386552015338
"2019-06-08",9979,0.0563888178434765,0.511848839370876,0.145405151759251
"2019-06-09",9981,0.0575704095340486,0.48772496663202,0.149580392586576
"2019-06-10",9982,0.0586399729877529,0.504549386569248,0.148380280811893
"2019-06-11",9980,0.0565050921745819,0.486058019138551,0.155341642433059
"2019-06-12",9975,0.0580801706202299,0.492903295440829,0.151374048552112
"2019-06-13",9976,0.0604861576727286,0.504137707741619,0.142749558675049
"2019-06-14",9971,0.0584980499303688,0.515404508968867,0.139860463039799
"2019-06-15",9978,0.0598406037315726,0.499609920710286,0.148631658965348
"2019-06-16",9967,0.0586230501864935,0.499128274794775,0.149639848600824
"2019-06-17",9987,0.0596046349540091,0.500072958035561,0.144988062700989
"2019-06-18",9977,0.0599933072123732,0.49833258256658,0.142768320371588
"2019-06-19",9978,0.058728288591005,0.505468800816211,0.145794804466374
"2019-06-20",9978,0.0587061449425646,0.502684282773634,0.142703747757232
"2019-06-21",9978,0.0700595660145353,0.4987822725934,0.141343568856741
"2019-06-22",9977,0.0640527813192955,0.490828158616374,0.143544635766408
"2019-06-23",9974,0.0620007043052802,0.487433196142472,0.148281151487318
"2019-06-24",9970,0.061031412570401,0.487227531625243,0.150148995915171
"2019-06-25",9967,0.0576688281193013,0.496450996317172,0.151350508457268
"2019-06-26",9970,0.0602274940714054,0.490161672464599,0.147343158075159
"2019-06-27",9984,0.0581283324660058,0.502802436440695,0.14025343110067
"2019-06-28",9977,0.0573560210929147,0.525761905370691,0.136103062335534
"2019-06-29",9972,0.0555329223631673,0.514303544889833,0.143550076664861
"2019-06-30",9980,0.0550616002974854,0.487066389337778,0.146976093887288
"2019-07-01",9975,0.0577182078595684,0.512384928199042,0.144452443492837
"2019-07-02",9981,0.055679118716086,0.491993119101271,0.145349226533849
"2019-07-03",9971,0.0544754075373778,0.504224925725771,0.14115565103566
"2019-07-04",9974,0.0596869495024004,0.511042775357805,0.14387347090068
"2019-07-05",9984,0.0530761323607206,0.518387044113268,0.137873047680165
"2019-07-06",9980,0.0591883713233866,0.509710740487412,0.141186144292814
"2019-07-07",10053,0.0590680813619306,0.48599942491254,0.156296039428388
"2019-07-08",9978,0.0585878224640594,0.50162180919791,0.14577856727342
"2019-07-09",9981,0.0569677705170794,0.483812505243615,0.148783401767999
"2019-07-10",9981,0.0580179718785552,0.490189747932487,0.148812418225602
"2019-07-11",9981,0.0587195724979745,0.488404551361335,0.141340337849483
"2019-07-12",9981,0.0534122628154602,0.532884836454988,0.136611885698187
"2019-07-13",9983,0.0532834045097327,0.506744315636783,0.141702118377154
"2019-07-14",9973,0.0585483223568263,0.498336486985223,0.145574563772496
"2019-07-15",9972,0.0543318981960605,0.506649253251163,0.141724689423889
"2019-07-16",9967,0.0583604038159465,0.496597789489444,0.141346565502866
"2019-07-17",9982,0.0577798494737056,0.491681308505193,0.136787449761454
"2019-07-18",9981,0.0642577298178034,0.48961556072362,0.145818597052486
"2019-07-19",9983,0.0592601393661014,0.50831572119681,0.141680844797517
"2019-07-20",9975,0.0571118679119596,0.504328785967438,0.147280262876442
"2019-07-21",9971,0.0584832795305194,0.492755256720787,0.149126950470777
"2019-07-22",9980,0.058462943216296,0.501372299183533,0.14305529189744
"2019-07-23",9983,0.0623357694549354,0.458451225753377,0.148878992900548
"2019-07-24",9972,0.0672899131867548,0.478123284207227,0.148600651727357
"2019-07-25",9978,0.0669648986071861,0.472658874726077,0.153447331762995
"2019-07-26",9976,0.0612681161780325,0.491959311752138,0.148407520681629
"2019-07-27",9967,0.0575818278312978,0.48532736830129,0.149143728977569
"2019-07-28",9975,0.059107641846643,0.477133003720713,0.154653669995627
"2019-07-29",9985,0.0637547246410624,0.478353347469641,0.149289387386536
"2019-07-30",9969,0.0598630905222368,0.485365975691358,0.147461342540575
"2019-07-31",9970,0.0626122779550403,0.485637458344486,0.148882883703458
"2019-08-01",9975,0.0560915110323854,0.50701674236273,0.146176457770652
"2019-08-02",9973,0.0567321302510598,0.497428382468911,0.141845117668588
"2019-08-03",9975,0.0563997852256613,0.50411299196523,0.146357961800311
"2019-08-04",9968,0.0706048748994351,0.475351563353898,0.152958367703575
"2019-08-05",9965,0.0627178755790702,0.473421880402103,0.153608878522261
"2019-08-06",9976,0.0644521042539341,0.475029631738137,0.149915323373487
"2019-08-07",9983,0.0623150603789519,0.481913295398677,0.150420656564855
"2019-08-08",9979,0.0625916262133136,0.481107225787941,0.155560407886326
"2019-08-09",9986,0.0582410912076135,0.503392803903373,0.149371215668079
"2019-08-10",9982,0.0601970046272488,0.490572113348897,0.150945045493304
"2019-08-11",9976,0.0613276050380934,0.47800961030743,0.152877042089963
"2019-08-12",9979,0.0593033850929051,0.492484517682565,0.143903996938161
"2019-08-13",9977,0.0611714467485787,0.48524303441738,0.148334359405608
"2019-08-14",9977,0.0611791440051243,0.489497561091686,0.15612852424224
"2019-08-15",9979,0.0650302244184324,0.491895486731832,0.144249419753602
"2019-08-16",9979,0.0611096449374456,0.496006756913827,0.147890613879658
