"gender","date","n","mnfear","mnjoy","mnsadness"
"female","2019-06-01",2059,0.0581218162100335,0.561914245996397,0.161795930155271
"female","2019-06-02",1973,0.0684781807811529,0.554498547965845,0.171015586891767
"female","2019-06-03",1991,0.0659970773340941,0.549083448693298,0.157788458972092
"female","2019-06-04",2018,0.0607793014993551,0.546896728648323,0.146282151153259
"female","2019-06-05",1937,0.0654382358808681,0.549720125502365,0.161632641697065
"female","2019-06-06",1957,0.0683507174484569,0.541039696541176,0.163833493746243
"female","2019-06-07",1986,0.066926556618476,0.560986031201854,0.16062775359592
"female","2019-06-08",2126,0.0631158731109057,0.572453021076793,0.165217375583962
"female","2019-06-09",2069,0.0639607226765846,0.541964595014213,0.168517329832611
"female","2019-06-10",1905,0.0622761924750797,0.556935530530626,0.166235543227403
"female","2019-06-11",1966,0.06485512171272,0.532194636202833,0.169395147123832
"female","2019-06-12",1906,0.0647779656107797,0.528245155649818,0.167181782101895
"female","2019-06-13",1957,0.0605720375915952,0.570248024466894,0.152155769486827
"female","2019-06-14",1939,0.0676737115164566,0.547378676603331,0.158199271114419
"female","2019-06-15",1983,0.0587158817411316,0.559051640606727,0.157771956344054
"female","2019-06-16",2078,0.0738832458630023,0.557007480228351,0.164457417886052
"female","2019-06-17",1981,0.0696875207224985,0.56173476928434,0.156948290152709
"female","2019-06-18",1962,0.0679016621652779,0.527685845832952,0.162752769626255
"female","2019-06-19",1980,0.0694058749418044,0.54997573405339,0.165815217594259
"female","2019-06-20",1955,0.063195567270068,0.553170392808089,0.161943924887573
"female","2019-06-21",1989,0.0711993803266064,0.548229449055346,0.149796679204394
"female","2019-06-22",2086,0.0728118295502498,0.539910267891583,0.160060956197981
"female","2019-06-23",2080,0.0674764807241725,0.561328159555202,0.157824156556587
"female","2019-06-24",1849,0.0648918412970502,0.535116996632086,0.169891287267824
"female","2019-06-25",2024,0.0643279703825518,0.544514200711814,0.175263252263724
"female","2019-06-26",1969,0.0729564833716412,0.549274904784715,0.159034956338139
"female","2019-06-27",1904,0.0611785741660418,0.540863453970876,0.163011114351855
"female","2019-06-28",1961,0.0608091412971667,0.574127441022449,0.160267843102252
"female","2019-06-29",2052,0.065607084368339,0.568910295601073,0.164179645658908
"female","2019-06-30",2076,0.0543215113810952,0.55296603161333,0.158101085626259
"female","2019-07-01",1906,0.0621014015648257,0.5656762442041,0.15520622701177
"female","2019-07-02",1934,0.0627234519021757,0.532173983334228,0.174794863044494
"female","2019-07-03",1847,0.056809443287384,0.550934285303385,0.166192458386235
"female","2019-07-04",1908,0.0693454404556609,0.564530086792923,0.15134547586688
"female","2019-07-05",1909,0.0577561025557571,0.583691125004919,0.148076813938408
"female","2019-07-06",2051,0.0686066903213145,0.554343723338979,0.151606008812146
"female","2019-07-07",2012,0.0650615545915647,0.527090868826223,0.182989023001536
"female","2019-07-08",1920,0.0677475393861641,0.543408604463639,0.160799518549902
"female","2019-07-09",1873,0.0659842350546236,0.518229423362229,0.174264510061982
"female","2019-07-10",1882,0.0642943900707871,0.517325952131928,0.164350054285456
"female","2019-07-11",1901,0.0656250756547046,0.544811641478797,0.150941640139606
"female","2019-07-12",1879,0.0556762718474193,0.575951372346808,0.149447525605339
"female","2019-07-13",1974,0.0611252994065455,0.56458130397436,0.156374350354465
"female","2019-07-14",1954,0.06362049053777,0.552886603335588,0.162097631353588
"female","2019-07-15",1834,0.0606535559293452,0.545541364830776,0.162677462170974
"female","2019-07-16",1819,0.0668787750997709,0.561182458970806,0.150262083979723
"female","2019-07-17",1893,0.0645026275876093,0.541060333786936,0.147121161519984
"female","2019-07-18",1886,0.0712517561420439,0.548344966985976,0.164872309493251
"female","2019-07-19",1920,0.0638515741248133,0.565832347194828,0.158530326087566
"female","2019-07-20",2002,0.0666386676482337,0.563589420566579,0.166758501182913
"female","2019-07-21",1869,0.065447699678759,0.571377318522288,0.156336456801221
"female","2019-07-22",1884,0.058312601991373,0.558205717073451,0.155315166098785
"female","2019-07-23",1956,0.068587953632827,0.504227932149482,0.16545126651288
"female","2019-07-24",1906,0.0743807481027942,0.529374669074066,0.164354072467476
"female","2019-07-25",1952,0.0698333818470362,0.527476351175866,0.166150984227644
"female","2019-07-26",1943,0.0692662507220954,0.542944819664917,0.166957367756809
"female","2019-07-27",1890,0.0633890945098188,0.547998068186827,0.161158446075885
"female","2019-07-28",1996,0.0644494328211411,0.511783526387049,0.1831058051666
"female","2019-07-29",1886,0.0730376055412978,0.532529163505831,0.163430436190812
"female","2019-07-30",1914,0.0664518486013864,0.545354796609816,0.159898984627073
"female","2019-07-31",1759,0.0740835472073148,0.522744830863165,0.171891526022456
"female","2019-08-01",1899,0.0648345419750958,0.583248424209541,0.157785715891089
"female","2019-08-02",1897,0.0645880731364931,0.554162056995242,0.159433154473521
"female","2019-08-03",1968,0.0661947868564282,0.560219009606332,0.168966292026235
"female","2019-08-04",1840,0.0779637394873767,0.522611468554659,0.177586140601931
"female","2019-08-05",1875,0.0741659699693633,0.532155166869052,0.185382366445536
"female","2019-08-06",1863,0.0751093734274528,0.532800114599194,0.171771150518767
"female","2019-08-07",1725,0.0731347075339569,0.532210804776734,0.169709586816826
"female","2019-08-08",1835,0.0725722592757642,0.543744710542589,0.163578842705679
"female","2019-08-09",1839,0.0714827598377522,0.560146411478303,0.168544132229297
"female","2019-08-10",1905,0.059800126104557,0.550703008473836,0.161649151503724
"female","2019-08-11",1994,0.0712643221965099,0.528319811192125,0.169733070349578
"female","2019-08-12",1948,0.0735638477685405,0.549994746841354,0.153603145826031
