day,ntweets
2020-04-15,156162
2020-04-16,156887
2020-04-17,154970
2020-04-18,149475
2020-04-19,151986
2020-04-20,146195
2020-04-21,148093
2020-04-22,152142
2020-04-23,148248
2020-04-24,149670
2020-04-25,134052
2020-04-26,130815
2020-04-27,148857
2020-04-28,160868
2020-04-29,149572
2020-04-30,157938
2020-05-01,156045
2020-05-02,134349
2020-05-03,138340
2020-05-04,146623
2020-05-05,149519
2020-05-06,150385
2020-05-07,153967
2020-05-08,148394
2020-05-09,137429
2020-05-10,161121
2020-05-11,156532
2020-05-12,148857
2020-05-13,147251
2020-05-14,143586
2020-05-15,146384
2020-05-16,136529
2020-05-17,126878
2020-05-18,142768
2020-05-19,141474
2020-05-20,142885
2020-05-21,141264
2020-05-22,154678
2020-05-23,179421
2020-05-24,192688
2020-05-25,205108
2020-05-26,171887
2020-05-27,165793
2020-05-28,165404
2020-05-29,142155
2020-05-30,127725
2020-05-31,132387
2020-06-01,133906
2020-06-02,130514
2020-06-03,150254
2020-06-04,149154
2020-06-05,148205
2020-06-06,138481
2020-06-07,142068
2020-06-08,137989
2020-06-09,147669
2020-06-10,153573
2020-06-11,150550
2020-06-12,151976
2020-06-13,132008
2020-06-14,128075
2020-06-15,138520
2020-06-16,146185
2020-06-17,161944
2020-06-18,153441
2020-06-19,158031
2020-06-20,130776
2020-06-21,133414
2020-06-22,133619
2020-06-23,140369
2020-06-24,139868
2020-06-25,154254
2020-06-26,146443
2020-06-27,132869
2020-06-28,126104
2020-06-29,133799
2020-06-30,145732
2020-07-01,153801
2020-07-02,147917
2020-07-03,144102
2020-07-04,130645
2020-07-05,125496
2020-07-06,132154
2020-07-07,136777
2020-07-08,141260
2020-07-09,141595
2020-07-10,130085
2020-07-11,117568
2020-07-12,121666
2020-07-13,141965
2020-07-14,138958
2020-07-15,142092
2020-07-16,142690
2020-07-17,129876
2020-07-18,114954
2020-07-19,117578
2020-07-20,121155
2020-07-21,128859
2020-07-22,147421
2020-07-23,139600
2020-07-24,132314
2020-07-25,115782
2020-07-26,125540
2020-07-27,119223
2020-07-28,115232
2020-07-29,120741
2020-07-30,132076
2020-07-31,130163
2020-08-01,114872
2020-08-02,108749
2020-08-03,120994
2020-08-04,131944
2020-08-05,129535
2020-08-06,130080
2020-08-07,127384
2020-08-08,110433
2020-08-09,106924
2020-08-10,123389
2020-08-11,130684
2020-08-12,136884
2020-08-13,143562
2020-08-14,141683
2020-08-15,126367
2020-08-16,130884
2020-08-17,133273
2020-08-18,127170
2020-08-19,132738
2020-08-20,126387
2020-08-21,127783
2020-08-22,112020
2020-08-23,116371
2020-08-24,117470
2020-08-25,131229
2020-08-26,126484
2020-08-27,125540
2020-08-28,128270
2020-08-29,133609
2020-08-30,105299
2020-08-31,109674
2020-09-01,117675
2020-09-02,122736
2020-09-03,127861
2020-09-04,122878
2020-09-05,113339
2020-09-06,112156
2020-09-07,122235
2020-09-08,132689
2020-09-09,130684
2020-09-10,135050
2020-09-11,126961
2020-09-12,123291
2020-09-13,118074
2020-09-14,127628
2020-09-15,133448
2020-09-16,136996
2020-09-17,132923
2020-09-18,129657
2020-09-19,133327
2020-09-20,123861
2020-09-21,124561
2020-09-22,144720
2020-09-23,134076
2020-09-24,130455
2020-09-25,134183
2020-09-26,126401
2020-09-27,127384
2020-09-28,126095
2020-09-29,127701
2020-09-30,135419
2020-10-01,144155
2020-10-02,136738
2020-10-03,130587
2020-10-04,154030
2020-10-05,143333
2020-10-06,138262
2020-10-07,130630
2020-10-08,131005
2020-10-09,129521
2020-10-10,130874
2020-10-11,117587
2020-10-12,134164
2020-10-13,133317
2020-10-14,136334
2020-10-15,124941
2020-10-16,136505
2020-10-17,139756
2020-10-18,124800
2020-10-19,130811
2020-10-20,147995
2020-10-21,152040
2020-10-22,145820
2020-10-23,141138
2020-10-24,138539
2020-10-25,128032
2020-10-26,127287
2020-10-27,131988
2020-10-28,130329
2020-10-29,145810
2020-10-30,133911
2020-10-31,180662
2020-11-01,147416
2020-11-02,137332
2020-11-03,139400
2020-11-04,154128
2020-11-05,152760
2020-11-06,158586
2020-11-07,187938
2020-11-08,153383
2020-11-09,139804
2020-11-10,146015
2020-11-11,151845
2020-11-12,142579
2020-11-13,145450
2020-11-14,129166
2020-11-15,141250
2020-11-16,135857
2020-11-17,140413
2020-11-18,143883
2020-11-19,145173
2020-11-20,149553
2020-11-21,137040
2020-11-22,129263
2020-11-23,131706
2020-11-24,140301
2020-11-25,151300
2020-11-26,141221
2020-11-27,139975
2020-11-28,135556
2020-11-29,140642
2020-11-30,147504
2020-12-01,141036
2020-12-02,139381
2020-12-03,127224
2020-12-04,126377
2020-12-05,124158
2020-12-06,133896
2020-12-07,124766
2020-12-08,140525
2020-12-09,130188
2020-12-10,136330
2020-12-11,143440
2020-12-12,135634
2020-12-13,137692
2020-12-14,137527
2020-12-15,136714
2020-12-16,147299
2020-12-17,135604
2020-12-18,135288
2020-12-19,172592
2020-12-20,155641
2020-12-21,148370
2020-12-22,140530
2020-12-23,139702
2020-12-24,134938
2020-12-25,87238
2020-12-26,117884
2020-12-27,122483
2020-12-28,128596
2020-12-29,143085
2020-12-30,156123
2020-12-31,154736
2021-01-01,137371
2021-01-02,145985
2021-01-03,149577
2021-01-04,181907
2021-01-05,152736
2021-01-06,170821
2021-01-07,140427
2021-01-08,152161
2021-01-09,147966
2021-01-10,141849
2021-01-11,150078
2021-01-12,154327
2021-01-13,158079
2021-01-14,147893
2021-01-15,141357
2021-01-16,141114
2021-01-17,137118
2021-01-18,140281
2021-01-19,150283
2021-01-20,161082
2021-01-21,151110
2021-01-22,150560
2021-01-23,139308
2021-01-24,142768
2021-01-25,141902
2021-01-26,165511
2021-01-27,172704
2021-01-28,149927
2021-01-29,140403
2021-01-30,148876
2021-01-31,138408
2021-02-01,139989
2021-02-02,166825
2021-02-03,151621
2021-02-04,145572
2021-02-05,133205
2021-02-06,144924
2021-02-07,140242
2021-02-08,129735
2021-02-09,137463
2021-02-10,136753
2021-02-11,133400
2021-02-12,133059
2021-02-13,143289
2021-02-14,135638
2021-02-15,126620
2021-02-16,133512
2021-02-17,134417
2021-02-18,135634
2021-02-19,137892
2021-02-20,146078
2021-02-21,140291
2021-02-22,137853
2021-02-23,141707
2021-02-24,136578
2021-02-25,138228
2021-02-26,134981
2021-02-27,130981
2021-02-28,127078
2021-03-01,128805
2021-03-02,134339
2021-03-03,144958
2021-03-04,146068
2021-03-05,142296
2021-03-06,134159
2021-03-07,137366
2021-03-08,143961
2021-03-09,137965
2021-03-10,150297
2021-03-11,150093
2021-03-12,148234
2021-03-13,150078
2021-03-14,152775
2021-03-15,129005
2021-03-16,128289
2021-03-17,132859
2021-03-18,140437
2021-03-19,135999
2021-03-20,131745
2021-03-21,128956
2021-03-22,125520
2021-03-23,144890
2021-03-24,126031
2021-03-25,131871
2021-03-26,126318
2021-03-27,117359
2021-03-28,116984
2021-03-29,116711
2021-03-30,115572
2021-03-31,123797
2021-04-01,118025
2021-04-02,111635
2021-04-03,113845
2021-04-04,106613
2021-04-05,125165
2021-04-06,132256
2021-04-07,128927
2021-04-08,128056
2021-04-09,167361
2021-04-10,140685
2021-04-11,124484
2021-04-12,118269
2021-04-13,116234
2021-04-14,116181
2021-04-15,115791
2021-04-16,127219
2021-04-17,104622
2021-04-18,127715
2021-04-19,141328
2021-04-20,139508
2021-04-21,119077
2021-04-22,110423
2021-04-23,111372
2021-04-24,110462
2021-04-25,118376
2021-04-26,111304
2021-04-27,120045
2021-04-28,121004
2021-04-29,123768
2021-04-30,118935
2021-05-01,106861
2021-05-02,120089
2021-05-03,108019
2021-05-04,122659
2021-05-05,124075
2021-05-06,129399
2021-05-07,151300
2021-05-08,147012
2021-05-09,126698
2021-05-10,122527
2021-05-11,131234
2021-05-12,127165
2021-05-13,129506
2021-05-14,123174
2021-05-15,123131
2021-05-16,122595
2021-05-17,117982
2021-05-18,129117
2021-05-19,126211
2021-05-20,120760
2021-05-21,121783
2021-05-22,128810
2021-05-23,126124
2021-05-24,111002
2021-05-25,112862
2021-05-26,143221
2021-05-27,123418
2021-05-28,115095
2021-05-29,110399
2021-05-30,91204
2021-05-31,94849
2021-06-01,107274
2021-06-02,114151
2021-06-03,117091
2021-06-04,112107
2021-06-05,98003
2021-06-06,127817
2021-06-07,110613
2021-06-08,127083
2021-06-09,132134
2021-06-10,115967
2021-06-11,119529
2021-06-12,111796
2021-06-13,111460
2021-06-14,129287
2021-06-15,122138
2021-06-16,128372
2021-06-17,125170
2021-06-18,145138
2021-06-19,110253
2021-06-20,106515
2021-06-21,117110
2021-06-22,131103
2021-06-23,116020
2021-06-24,115811
2021-06-25,133789
2021-06-26,133959
2021-06-27,113197
2021-06-28,142471
2021-06-29,148005
2021-06-30,127418
2021-07-01,119865
2021-07-02,131979
2021-07-03,116487
2021-07-04,108335
2021-07-05,127671
2021-07-06,137181
2021-07-07,149543
