day,male,female
2020-02-01,301662,164308
2020-02-02,277783,173472
2020-02-03,259188,171097
2020-02-04,256747,177485
2020-02-05,267047,174810
2020-02-06,259054,174977
2020-02-07,257951,171532
2020-02-08,262064,159258
2020-02-09,261462,170027
2020-02-10,251663,166382
2020-02-11,263402,169726
2020-02-12,271529,179057
2020-02-13,268619,174208
2020-02-14,291796,202535
2020-02-15,274907,177151
2020-02-16,259155,167285
2020-02-17,259188,173572
2020-02-18,262399,177084
2020-02-19,266914,180127
2020-02-20,266245,177084
2020-02-21,262298,181799
2020-02-22,265476,156784
2020-02-23,263770,162469
2020-02-24,247750,162971
2020-02-25,258452,172602
2020-02-26,263436,176883
2020-02-27,269322,175077
2020-02-28,273602,180094
2020-02-29,285174,160195
2020-03-01,265442,163640
2020-03-02,245744,165613
2020-03-03,262265,170830
2020-03-04,276144,174843
2020-03-05,273636,192936
2020-03-06,261061,183304
2020-03-07,266713,158155
2020-03-08,261228,189525
2020-03-09,244239,159626
2020-03-10,257683,172937
2020-03-11,281060,181432
2020-03-12,293669,185946
2020-03-13,315976,203973
2020-03-14,287247,191866
2020-03-15,282398,198622
2020-03-16,298284,216246
2020-03-17,334470,243135
2020-03-18,350389,271930
2020-03-19,349419,270626
2020-03-20,389518,284070
2020-03-21,347881,248587
2020-03-22,334972,250861
2020-03-23,366977,261195
2020-03-24,363900,264305
2020-03-25,358516,254941
2020-03-26,394602,285341
2020-03-27,383465,265643
2020-03-28,364168,242266
2020-03-29,324571,227517
2020-03-30,339955,238721
2020-03-31,345674,235711
2020-04-01,348282,250861
2020-04-02,365673,261295
2020-04-03,380789,268987
2020-04-04,382294,237182
2020-04-05,367713,236012
2020-04-06,352128,239624
2020-04-07,343333,239958
2020-04-08,355004,238052
2020-04-09,363399,248051
2020-04-10,366241,240326
2020-04-11,362663,230493
2020-04-12,363131,246145
2020-04-13,327079,211364
2020-04-14,335005,222969
2020-04-15,349453,229055
2020-04-16,370924,250794
2020-04-17,363967,248018
2020-04-18,343734,224407
2020-04-19,333768,218922
2020-04-20,323969,215009
2020-04-21,331794,234440
2020-04-22,345941,233136
2020-04-23,360188,247784
2020-04-24,370121,239824
2020-04-25,330925,213002
2020-04-26,303468,207451
2020-04-27,315006,224474
2020-04-28,343500,236179
2020-04-29,334804,232132
2020-04-30,366041,258218
2020-05-01,372261,252734
2020-05-02,332463,213103
2020-05-03,308518,213839
2020-05-04,321962,228253
2020-05-05,330356,232299
2020-05-06,327313,228253
2020-05-07,351091,240861
2020-05-08,360757,235242
2020-05-09,327681,207819
2020-05-10,374970,242801
2020-05-11,338985,229791
2020-05-12,331293,241831
2020-05-13,336610,233236
2020-05-14,338517,232065
2020-05-15,349754,240560
2020-05-16,334804,222601
2020-05-17,296010,196715
2020-05-18,317614,220494
2020-05-19,326611,228955
2020-05-20,339888,232433
2020-05-21,336042,237751
2020-05-22,344536,245209
2020-05-23,364770,228453
2020-05-24,386776,239189
2020-05-25,395237,243470
2020-05-26,355774,229925
2020-05-27,355138,239389
2020-05-28,357680,231497
2020-05-29,341226,227082
2020-05-30,308284,200260
2020-05-31,302264,196481
2020-06-01,304605,212668
2020-06-02,292598,193639
2020-06-03,328216,227350
2020-06-04,329855,221029
2020-06-05,340724,235109
2020-06-06,330557,209190
2020-06-07,332798,205578
2020-06-08,315374,215410
2020-06-09,348918,224808
2020-06-10,352362,242399
2020-06-11,356810,238152
2020-06-12,366810,239356
2020-06-13,338818,208855
2020-06-14,300290,195077
