day,male,female
2020-02-01,47558,26918
2020-02-02,39650,23501
2020-02-03,34432,23059
2020-02-04,35172,22825
2020-02-05,35484,23049
2020-02-06,37051,24090
2020-02-07,32666,22265
2020-02-08,34778,20226
2020-02-09,35469,22956
2020-02-10,32739,21613
2020-02-11,35610,22450
2020-02-12,36588,23399
2020-02-13,36355,23633
2020-02-14,36866,24382
2020-02-15,46390,34131
2020-02-16,40015,27804
2020-02-17,39693,25653
2020-02-18,37508,24499
2020-02-19,40253,24704
2020-02-20,37917,24363
2020-02-21,35659,24962
2020-02-22,39158,22134
2020-02-23,37143,22806
2020-02-24,35688,22952
2020-02-25,36355,23219
2020-02-26,36004,22854
2020-02-27,37698,23156
2020-02-28,36681,22445
2020-02-29,43071,21710
2020-03-01,37523,22202
2020-03-02,33532,21652
2020-03-03,37367,22913
2020-03-04,40613,22976
2020-03-05,37387,24893
2020-03-06,34223,23083
2020-03-07,38584,22319
2020-03-08,35678,22966
2020-03-09,35620,22533
2020-03-10,40122,26212
2020-03-11,44740,26796
2020-03-12,49554,31279
2020-03-13,52727,35099
2020-03-14,47957,32310
2020-03-15,50542,34247
2020-03-16,57195,42103
2020-03-17,62169,48206
2020-03-18,63030,49427
2020-03-19,62923,49461
2020-03-20,65994,50678
2020-03-21,59667,44580
2020-03-22,61443,45899
2020-03-23,59521,46074
2020-03-24,56479,42414
2020-03-25,56679,41548
2020-03-26,59852,44823
2020-03-27,61132,42477
2020-03-28,59034,39377
2020-03-29,54995,37333
2020-03-30,53155,38730
2020-03-31,53087,37956
2020-04-01,56051,41163
2020-04-02,59175,41952
2020-04-03,59555,42326
2020-04-04,56406,38019
2020-04-05,60421,39012
2020-04-06,54401,38852
2020-04-07,51724,36024
2020-04-08,53846,38233
2020-04-09,53997,38681
2020-04-10,55082,37075
2020-04-11,56684,36194
2020-04-12,58392,39659
2020-04-13,51354,36000
2020-04-14,50829,34651
2020-04-15,53374,36695
2020-04-16,52917,36988
2020-04-17,52688,35688
2020-04-18,51277,35635
2020-04-19,52834,36447
2020-04-20,49223,33610
2020-04-21,48916,35313
2020-04-22,51442,35552
2020-04-23,48566,35026
2020-04-24,50211,34788
2020-04-25,46707,31931
2020-04-26,44711,32461
2020-04-27,48308,33761
2020-04-28,53666,36613
2020-04-29,49096,36058
2020-04-30,52858,36861
2020-05-01,51987,35849
2020-05-02,47626,31449
2020-05-03,45675,31673
2020-05-04,46867,33668
2020-05-05,50693,33488
2020-05-06,50795,34423
2020-05-07,53223,34997
2020-05-08,51778,33537
2020-05-09,48741,31824
2020-05-10,57365,38448
2020-05-11,52099,36992
2020-05-12,49427,35143
2020-05-13,49252,34754
2020-05-14,47149,33386
2020-05-15,49048,33333
2020-05-16,48585,32179
2020-05-17,43821,30836
2020-05-18,46638,32802
2020-05-19,47860,31371
2020-05-20,48916,31493
2020-05-21,46614,32958
2020-05-22,52858,34982
2020-05-23,68987,42711
2020-05-24,74735,46235
2020-05-25,80487,47953
2020-05-26,62568,38214
2020-05-27,59686,37046
2020-05-28,59429,37202
2020-05-29,50084,31795
2020-05-30,45899,28149
2020-05-31,47622,29244
2020-06-01,44823,29595
2020-06-02,44142,28840
2020-06-03,51204,32427
2020-06-04,50989,33026
2020-06-05,50459,33897
2020-06-06,49880,31804
2020-06-07,51194,30889
2020-06-08,47188,29673
2020-06-09,50897,32836
2020-06-10,52776,35153
2020-06-11,52046,33143
2020-06-12,52537,33571
2020-06-13,48157,29001
2020-06-14,43621,29132
2020-06-15,45592,30992
2020-06-16,49549,33527
2020-06-17,57472,34768
2020-06-18,52011,34384
2020-06-19,56109,34462
2020-06-20,47378,27692
2020-06-21,48225,29113
2020-06-22,44935,27536
2020-06-23,48721,31196
2020-06-24,48663,29994
2020-06-25,55808,32286
2020-06-26,50410,32349
2020-06-27,48050,30539
2020-06-28,44886,28037
2020-06-29,45008,29473
2020-06-30,50225,32929
2020-07-01,54562,33809
2020-07-02,50761,33211
2020-07-03,49159,32612
2020-07-04,46804,28748
2020-07-05,44293,28947
2020-07-06,43850,29312
2020-07-07,46882,30004
2020-07-08,48488,30607
2020-07-09,48556,31079
2020-07-10,43801,28213
2020-07-11,43967,24791
2020-07-12,43947,25249
2020-07-13,47437,31692
2020-07-14,47772,29921
2020-07-15,51359,30164
2020-07-16,50006,30232
2020-07-17,44984,27487
2020-07-18,41937,24197
2020-07-19,41801,24407
2020-07-20,40793,25779
2020-07-21,44512,27195
2020-07-22,53058,30451
2020-07-23,45908,31103
2020-07-24,45577,29556
2020-07-25,41017,25049
2020-07-26,46381,25662
2020-07-27,39543,25010
2020-07-28,37075,24592
2020-07-29,40020,26125
2020-07-30,45641,28159
2020-07-31,45300,28432
2020-08-01,41621,23463
2020-08-02,38360,23711
2020-08-03,39888,26402
2020-08-04,45358,27809
2020-08-05,43154,27473
2020-08-06,44127,27663
2020-08-07,44186,25555
2020-08-08,38822,22927
2020-08-09,37382,22771
2020-08-10,40803,26631
2020-08-11,45042,26641
2020-08-12,46770,29147
2020-08-13,48775,32924
2020-08-14,49505,30860
2020-08-15,45714,26188
2020-08-16,46819,27731
2020-08-17,46157,28018
2020-08-18,43991,27137
2020-08-19,44628,28592
2020-08-20,41991,27113
2020-08-21,43504,26996
2020-08-22,40122,23954
2020-08-23,41300,23750
2020-08-24,39509,24378
2020-08-25,45329,27487
2020-08-26,43694,26037
2020-08-27,43986,25229
2020-08-28,48610,24957
2020-08-29,46862,29045
2020-08-30,36457,22173
2020-08-31,35610,23886
2020-09-01,38842,24494
2020-09-02,42059,26081
2020-09-03,43334,26986
2020-09-04,42463,25390
2020-09-05,41046,22874
2020-09-06,40073,23390
2020-09-07,41475,25035
2020-09-08,46799,27118
2020-09-09,45475,26791
2020-09-10,46191,28305
2020-09-11,44920,27220
2020-09-12,46653,25127
2020-09-13,43115,24236
2020-09-14,44628,25619
2020-09-15,47062,27400
2020-09-16,48147,27950
2020-09-17,46478,27492
2020-09-18,45281,26538
2020-09-19,50785,27395
2020-09-20,45422,25463
2020-09-21,42964,25896
2020-09-22,51919,31756
2020-09-23,46974,28826
2020-09-24,45626,27823
2020-09-25,46765,28534
2020-09-26,47743,25755
2020-09-27,48663,25219
2020-09-28,42945,25954
2020-09-29,43645,27147
2020-09-30,47597,28359
2020-10-01,49296,32714
2020-10-02,47052,29186
2020-10-03,48629,26850
2020-10-04,60524,29575
2020-10-05,51082,28947
2020-10-06,47792,28529
2020-10-07,44229,27356
2020-10-08,44731,28441
2020-10-09,46857,27414
2020-10-10,46449,28509
2020-10-11,41796,25059
2020-10-12,45495,28977
2020-10-13,45670,27731
2020-10-14,47758,29055
2020-10-15,42326,27512
2020-10-16,47763,28801
2020-10-17,53832,27726
2020-10-18,46410,26173
2020-10-19,44541,28042
2020-10-20,51632,30281
2020-10-21,51827,32242
2020-10-22,48356,31931
2020-10-23,48697,31176
2020-10-24,51374,28836
2020-10-25,46118,27083
2020-10-26,42044,26422
2020-10-27,44653,28110
2020-10-28,43529,27677
2020-10-29,51213,30646
2020-10-30,46585,28748
2020-10-31,70257,39533
2020-11-01,56348,30797
2020-11-02,48055,28261
2020-11-03,49189,29673
2020-11-04,56216,32160
2020-11-05,56070,31420
2020-11-06,57540,34471
2020-11-07,74949,39747
2020-11-08,56951,32111
2020-11-09,47295,29697
2020-11-10,49646,31473
2020-11-11,50191,31366
2020-11-12,49778,30768
2020-11-13,50478,32529
2020-11-14,46979,28699
2020-11-15,52980,30568
2020-11-16,46736,28991
2020-11-17,46629,31113
2020-11-18,49422,31006
2020-11-19,49573,32164
2020-11-20,52887,31678
2020-11-21,53817,28081
2020-11-22,48011,27244
2020-11-23,45052,28300
2020-11-24,47534,30091
2020-11-25,53296,32773
2020-11-26,49705,30432
2020-11-27,47106,30841
